
InstanceId                                                                      FriendlyName                           
ACPI\ACPI0010\100000                                                            ACPI Processor Container Device        
ACPI\QCOM0CD5\2&DABA3FF&2                                                       Qualcomm(R) Wlan Thermal Mitigation ...
ACPI\QCOM0C0D\2&DABA3FF&2                                                       Qualcomm(R) Data IPC Router Device     
ACPI\VEN_QCOM&DEV_0C83&SUBSYS_CRD08380&REV_0001\2&DABA3FF&2                     Qualcomm System Cache Device           
ACPI\PNP0C14\WM00                                                               Microsoft Windows Management Interfa...
ACPI\QCOM0C91\0                                                                 Qualcomm Temperature Sensor Device     
ACPI\QCOM0C96\0                                                                 Qualcomm(R) PCIe Platform Extension ...
ACPI\PNP0A08\4                                                                  PCI Express Root Complex               
ACPI\PNP0A08\5                                                                  PCI Express Root Complex               
ACPI\PNP0A08\6                                                                  PCI Express Root Complex               
ACPI\QCOM06DC\2&DABA3FF&2                                                       Qualcomm(R) TFTP Device                
ACPI\QCOM0CDA\0                                                                 Qualcomm Wwan Power Down Driver        
ACPI\QCOM0CB0\2&DABA3FF&2                                                       Qualcomm(R) Compute DSP Subsystem De...
ACPI\QCOM04DD\0                                                                 Qualcomm(R) System Manager SCM Device  
ACPI\QCOM04DE\0                                                                 Qualcomm(R) System Manager Device      
ACPI_HAL\PNP0C08\0                                                              Microsoft ACPI-Compliant System        
ACPI\QCOM0C6B\2&DABA3FF&2                                                       Qualcomm(R) Bluetooth UART Transport...
ACPI\QCOM0C2C\2&DABA3FF&2                                                       Qualcomm(R) Power Management PMIC Ap...
ACPI\QCOM06E1\2&DABA3FF&2                                                       Qualcomm(R) Reset Power Error Notifi...
ACPI\VEN_QCOM&DEV_0CF5&SUBSYS_CRD08380&REV_0100\0                               Qualcomm CPU DCVS Cluster 1 Policy D...
ACPI_HAL\UEFI\0                                                                 Microsoft UEFI-Compliant System        
ACPI\ACPI000E\2&DABA3FF&2                                                       ACPI Wake Alarm                        
ACPI\QCOM0C87\2&DABA3FF&2                                                       Qualcomm Secure Processor Device       
ACPI\QCOM0C82\2&DABA3FF&2                                                       Qualcomm(R) Audio RPC Daemon Device    
ACPI\QCOM0CE4\0                                                                 Qualcomm(R) System Manager Secapp De...
ACPI\VEN_QCOM&DEV_0CF4&SUBSYS_CRD08380&REV_0100\0                               Qualcomm CPU DCVS Cluster 0 Policy D...
ACPI\QCOM0C2B\2&DABA3FF&2                                                       Qualcomm(R) Power Management PMIC De...
ACPI\QCOM06E5\2&DABA3FF&2                                                       Qualcomm(R) Subsys Base Thermal Miti...
ACPI\QCOM0C58\0                                                                 Qualcomm Temperature Sensor Device     
ACPI\QCOM0C58\1                                                                 Qualcomm Temperature Sensor Device     
ACPI\QCOM0C59\0                                                                 Qualcomm Temperature Sensor Device     
ACPI\QCOM0C59\1                                                                 Qualcomm Temperature Sensor Device     
ACPI\QCOM0C5A\1                                                                 Qualcomm Temperature Sensor Device     
ACPI\QCOM0C5E\0                                                                 Qualcomm ADC Temperature Monitor Device
ACPI\QCOM0C5F\0                                                                 Qualcomm ADC Temperature Monitor Device
ACPI\VEN_QCOM&DEV_0CF3&SUBSYS_CRD08380&REV_0100\0                               Qualcomm CPU DCVS Policy Device        
ACPI\QCOM0C8E\2&DABA3FF&2                                                       Qualcomm(R) Power Management PMIC GL...
ACPI\VEN_QCOM&DEV_0CFC&SUBSYS_CRD08380&REV_0100\0                               Qualcomm WLAN Limits Policy Device     
ACPI\QCOM06C2\0                                                                 Qualcomm(R) Inter Processor Communic...
ACPI\QCOM0C0A\1                                                                 Qualcomm(R) Bam Bus Device             
ACPI\QCOM0C0A\5                                                                 Qualcomm(R) Bam Bus Device             
ACPI\QCOM0C0B\1                                                                 Qualcomm(R) SPMI Bus Device            
ACPI\QCOM0C0C\0                                                                 Qualcomm(R) System Manager GPIO Device 
ACPI\QCOM0C0E\B                                                                 Qualcomm(R) SPI Bus Device             
ACPI\QCOM068F\0                                                                 Qualcomm(R) IOMMU Device               
ACPI\QCOM068F\1                                                                 Qualcomm(R) IOMMU Device               
